case,problem,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,label,cache_hit_rate,parallelism,n_elig
case_096,3,4,84194,22381,3.7619,335560,v34_bandref_w8,0.17834352006196225,8.22,1198
case_096,3,5,84194,20984,4.0123,598056,v35_bandref_w6,0.5204321755197379,8.22,1198
case_097,1,2,11491509,5156692,2.2285,17891328,,,338.74,6592
case_097,1,3,11491509,3544723,3.2419,17358848,v25b_grow_m3,0,338.74,6592
case_097,1,4,11491509,2579804,4.4544,17891328,,,338.74,6592
case_097,1,5,11491509,2258369,5.0884,17678336,,,338.74,6592
case_097,2,2,11491509,5393626,2.1306,3588096,v35_bandref_w6,0,338.74,6592
case_097,2,3,11491509,3437894,3.3426,19554304,v35_bandref_w6,0,338.74,6592
case_097,2,4,11491509,2577788,4.4579,7667712,v34_bandref_w8,0,338.74,6592
case_097,2,5,11491509,2069601,5.5525,29622272,v35_bandref_w6,0,338.74,6592
case_097,3,2,11491509,5393626,2.1306,3588096,v35_bandref_w6,0.0,338.74,6592
case_097,3,3,11491509,3437894,3.3426,19554304,v35_bandref_w6,0.3823595254085516,338.74,6592
case_097,3,4,11491509,2577788,4.4579,7667712,v34_bandref_w8,0.0,338.74,6592
case_097,3,5,11491509,2069601,5.5525,29622272,v35_bandref_w6,0.557229809976247,338.74,6592
case_098,1,2,177430,98332,1.8044,901212,v35_bandref_w32,0,14.7,1365
case_098,1,3,177430,87436,2.0293,983156,v34_bandref_w12,0,14.7,1365
case_098,1,4,177430,68941,2.5736,1882278,v36_cross_p1_from_p2,0,14.7,1365
case_098,1,5,177430,68927,2.5742,1882278,v36_cross_p1_from_p2,0,14.7,1365
case_098,2,2,177430,89028,1.993,2211130,v32_bandcomp_w4,0,14.7,1365
case_098,2,3,177430,70847,2.5044,2727312,v32_bandcomp_w4,0,14.7,1365
case_098,2,4,177430,63790,2.7815,794696,v34_bandref_w8,0,14.7,1365
case_098,2,5,177430,65241,2.7196,887908,v34_bandref_w8,0,14.7,1365
